PARTICIPANT_ID,EXPERIMENTTYPE,EXPERIMENTATTEMPT,TOTALATTEMPTCOUNT,LATINSQUARETYPE,PROMPT,CONFIDENT,UNCONFIDENT,KEYSTROKE_ID,PRESS_TIME,RELEASE_TIME,LETTER,KEYCODE,FREQUENCY,INPUTMETHOD,PROMPT_CHAR
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",0,1756303057942,1756303058141,Shift,16, monthly, physical-keyboard,0
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",1,1756303058093,1756303058188,G,71, monthly, physical-keyboard,0
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",2,1756303059308,1756303059380,Backspace,8, monthly, physical-keyboard,0
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",3,1756303059789,1756303059933,Shift,16, monthly, physical-keyboard,0
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",4,1756303059893,1756303059980,C,67, monthly, physical-keyboard,0
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",5,1756303060117,1756303060212,r,82, monthly, physical-keyboard,1
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",6,1756303060317,1756303060405,e,69, monthly, physical-keyboard,2
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",7,1756303060852,1756303060989,a,65, monthly, physical-keyboard,3
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",8,1756303060973,1756303061045,t,84, monthly, physical-keyboard,4
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",9,1756303061173,1756303061269,e,69, monthly, physical-keyboard,5
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",10,1756303061349,1756303061412, ,32, monthly, physical-keyboard,6
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",11,1756303061501,1756303061620,a,65, monthly, physical-keyboard,7
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",12,1756303061613,1756303061669, ,32, monthly, physical-keyboard,8
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",13,1756303061900,1756303061972,p,80, monthly, physical-keyboard,9
663378460f834e9670d1508c,image-to-prompt,1,7,1,Create a painting like image having a river stream in the middle with 4 ducks going from left to right side of the bank. The two banks have green coniferous trees and green grass. Soil and rocks is also slightly visible near camera.It is daylight scenario with fluffy clouds visible at sky at distance. Drawing is in potrait mode. The trees and clouds shadow falls on river.Image should look like taken from low angle,"[38,64];[72,120];[125,178];[238,255];[261,301];[335,374];[317,329]","[9,28];[387,417];[180,231];[70,71]",14,1756303062116,1756303062244,a,65, monthly, physical-keyboard,10
